original_access_url,unproxied_target_url,database_name,marketing_product_page_url,notes
original_access_url,unproxied_target_url,database_name,marketing_product_page_url,notes
https://ezproxy.law.stanford.edu/login?url=https://almanacofthefederaljudiciary.com,https://almanacofthefederaljudiciary.com,Almanac of the Federal Judiciary,https://store.legal.thomsonreuters.com/law-products/Legal-Encyclopedias/Almanac-of-the-Federal-Judiciary/p/100028208,Verified/public product page not proxied
https://ezproxy.law.stanford.edu/login?url=https://link.gale.com/apps/ACLU?u=stan90222,https://link.gale.com/apps/ACLU?u=stan90222,Archives of Sexuality and Gender,https://www.gale.com/primary-sources/archives-of-sexuality-and-gender,Mapped from Gale code
https://law.stanford.edu/robert-crown-law-library/legal-databases/#amindian,https://law.stanford.edu/robert-crown-law-library/legal-databases/#amindian,HeinOnline: American Indian Law Collection,https://home.heinonline.org/titles/American-Indian-Law-Collection/,Mapped from Stanford library anchor
https://ezproxy.law.stanford.edu/login?url=https://www.law.com/americanlawyer/,https://www.law.com/americanlawyer/,The American Lawyer,https://www.law.com/americanlawyer/,Public publication page
https://ezproxy.law.stanford.edu/login?url=https://my.vitallaw.com/#/publication/Antitrust/WKUS_TAL_15288?daId=WKUS_TAL_15288,https://my.vitallaw.com/,VitalLaw,https://www.wolterskluwer.com/en/solutions/vitallaw,Mapped to Wolters Kluwer product page
https://ezproxy.law.stanford.edu/login?url=https://app.bankruptcydata.com,https://app.bankruptcydata.com,BankruptcyData,https://bankruptcydata.com/,Mapped to vendor homepage/product page
https://ezproxy.law.stanford.edu/login?url=https://referenceworks.brillonline.com/browse/basilica-online,https://referenceworks.brillonline.com/browse/basilica-online,Basilica Online,https://brill.com/display/db/bo,Mapped to Brill database page
https://www.bloomberglaw.com/,https://www.bloomberglaw.com/,Bloomberg Law,https://pro.bloomberglaw.com/,Mapped to Bloomberg Law marketing site
https://ezproxy.law.stanford.edu/login?url=https://my.vitallaw.com/#/publication/SecuritiesCorporate/WKUS_TAL_15264?daId=WKUS_TAL_152644,https://my.vitallaw.com/,VitalLaw,https://www.wolterskluwer.com/en/solutions/vitallaw,Mapped to Wolters Kluwer product page
https://ezproxy.law.stanford.edu/login?url=https://onlaw.ceb.com,https://onlaw.ceb.com,OnLAW (CEB),https://www.ceb.com/products/onlaw-pro/,Mapped to current public OnLAW Pro page
https://law.stanford.edu/robert-crown-law-library/legal-databases/#vitallaw,https://law.stanford.edu/robert-crown-law-library/legal-databases/#vitallaw,VitalLaw,https://www.wolterskluwer.com/en/solutions/vitallaw,Mapped from Stanford library anchor
https://stanford.idm.oclc.org/login?qurl=https://subscriber.politicopro.com/eenews/pub/climatewire,https://subscriber.politicopro.com/eenews/pub/climatewire,Climatewire,https://www.eenews.net/publications/climatewire/,Mapped to public publication page
https://ezproxy.law.stanford.edu/login?url=https://heinonline.org/HOL/Index?collection=cfr,https://heinonline.org/HOL/Index?collection=cfr,HeinOnline: Code of Federal Regulations,https://home.heinonline.org/titles/Code-of-Federal-Regulations/,Mapped from Hein collection code
https://ezproxy.law.stanford.edu/login?url=https://www.pymnts.com/cpi,https://www.pymnts.com/cpi,Competition Policy International / CPI,https://www.competitionpolicyinternational.com/,Mapped to vendor homepage
https://advance.lexis.com/courtlinkhome,https://advance.lexis.com/courtlinkhome,Lexis CourtLink,https://www.lexisnexis.com/en-us/products/courtlink.page,Mapped to LexisNexis product page
https://ezproxy.law.stanford.edu/login?url=https://link.gale.com/apps/CPPC?u=stanford_law,https://link.gale.com/apps/CPPC?u=stanford_law,Political Change in Post-Communist Europe,https://www.gale.com/product-catalog,Mapped from Gale code; specific product page not confidently identified
https://ezproxy.law.stanford.edu/login?url=https://heinonline.org/HOL/Index?collection=agopinions&set_as_cursor=clear,https://heinonline.org/HOL/Index?collection=agopinions,HeinOnline: Attorney General Opinions and Reports,https://home.heinonline.org/titles/Attorney-General-Opinions-and-Reports/,Mapped from Hein collection code
https://stanford.idm.oclc.org/login?qurl=https://subscriber.politicopro.com/eenews,https://subscriber.politicopro.com/eenews,E&E News,https://www.eenews.net/,Mapped to public publication homepage
https://login.laneproxy.stanford.edu/login?url=https://link.gale.com/apps/llconverter/itweb/stan90222?db=ECCO,https://link.gale.com/apps/llconverter/itweb/stan90222?db=ECCO,Eighteenth Century Collections Online,https://www.gale.com/primary-sources/eighteenth-century-collections-online,Mapped from Gale db code
https://ezproxy.law.stanford.edu/login?url=https://www.elgaronline.com/browse?access=user&bot=bot&ct_6=encyclopedia&level=parent&pageSize=10&sort=titlesort&t=encyclopedia,https://www.elgaronline.com/browse?access=user,[manual review needed],,Could not confidently map
https://ezproxy.law.stanford.edu/login?url=https://www.elgaronline.com/browse?submittedFilterId=by-type-taxonomy&access=user&level=parent&pageSize=10&sort=datedescending&ct_6=encyclopedia,https://www.elgaronline.com/browse?submittedFilterId=by-type-taxonomy,[manual review needed],,Could not confidently map
https://ezproxy.law.stanford.edu/login?url=https://www.elgaronline.com/view/nlm-book/9781786436986/9781786436986.xml,https://www.elgaronline.com/view/nlm-book/9781786436986/9781786436986.xml,Research Handbook on Human Rights and Intellectual Property,https://www.e-elgar.com/shop/usd/research-handbook-on-human-rights-and-intellectual-property-9781786436986.html,Mapped by ISBN
